Rank;Prefecture;Score
1;Yamagata;96.97
2;Toyama;87.45
3;Niigata;82.78
4;Fukui;81.72
5;Gifu;74.85
6;Shiga;74.55
7;Fukushima;72.25
8;Ishikawa;68.93
9;Iwate;67.72
10;Akita;67.28
11;Tottori;67.15
12;Ibaraki;65.73
13;Shizuoka;65.51
14;Saga;65.31
15;Nagano;64.81
16;Tochigi;61.59
17;Aomori;61.05
18;Shimane;57.95
19;Mie;57.31
20;Kagoshima;55.63
21;Miyagi;54.06
22;Nara;53.63
23;Aichi;50.98
24;Saitama;49.50
25;Okayama;49.30
26;Kumamoto;47.72
27;Yamanashi;47.57
28;Kagawa;45.27
29;Kochi;45.32
30;Tokushima;45.09
31;Yamaguchi;44.51
32;Oita;43.85
33;Wakayama;43.53
34;Ehime;42.15
35;Miyazaki;39.93
36;Nagasaki;39.16
37;Hiroshima;39.08
38;Chiba;35.49
39;Hyogo;34.66
40;Fukuoka;33.74
41;Gunma;32.52
42;Kyoto;30.22
43;Okinawa;30.08
44;Kanagawa;28.19
45;Osaka;17.31
46;Hokkaido;16.46
47;Tokyo;6.28
